title,desc
Ridwan Kamil Kejar Target 300 Ribu Orang di Jabar Jalani Tes Covid-19,Target tes pemeriksaan terkait Corona Covid-19 sebanyak 300 ribu itu mengikuti Korea Selatan.
BMKG: Gempa Hari Ini Getarkan Pesisir Barat Lampung,"Gempa terjadi di Kabupaten Pesisir Barat, Provinsi Lampung pada pagi tadi pukul 04:32:17 WIB."
Alasan Polisi Usut Kasus Remaja Tersangka Pembunuhan Bocah Tanpa Publikasi,"Kapolres Metro Jakarta Pusat Kombes Heru Novianto menyampaikan, pengusutan kasus NF, remaja diduga pembunuh bocah di kawasan Sawah Besar dilakukan diam-diam."
4 Kendaraan Tabrakan Beruntun di Kota Medan,"Kecelakaan terjadi sekitar pukul 18.30 WIB dan melibatkan dua unit kendaraan pribadi, satu unit mobil box dan satu unit truk."
"Jubir Yurianto: 135.726 Spesimen Diperiksa, 17.026 Positif Corona Covid-19","Kasus positif Covid-19 sendiri sudah tersebar ke 34 pronvisi, dan 373 kabupaten/kota. Dengan penambahan kasus positif Corona hingga hari ini sebanyak 529 jiwa."
"FOTO: Antisipasi Tertular Covid-19, Buruh Panggul Beras Dibekali Obat Herbal",Mengantisipasi penyebaran Covid-19 sejumlah kuli dan buruh di Pasar Induk beras Cipinang diberi obat herbal mentah untuk meredakan panas.
Ridwan Kamil: PSBB Berdampak Penurunan Pasien Covid-19 di Jabar,"Menurut Ridwan Kamil, selama PSBB ini hasilnya mengembirakan."
"Dapat Asimilasi, Bahar Bin Smith Bebas dari Penjara Lapas Cibinong","Bahar bin Smith, terpidana kasus penganiayaan pada anak di bawah umur, resmi menghirup udara bebas hari ini, Sabtu (16/5/2020) sore."
"Dikawal Kabareskrim, Mensos Juliari Bagikan Sembako Presiden di Bekasi",Penyaluran bansos dikawal aparat kepolisian guna memastikan bantuan sesuai perencanaan awal.
"Hingga 15 Mei, 1.213 Perusahaan Melanggar PSBB Jakarta","Selain perusahaan yang ditutup sementara, ada 307 perusahaan lain yang diberi peringatan dan diberikan pembinaan karena belum melaksanakan protokol kesehatan secara menyeluruh."
"Jalur Pantura Macet, Ganjar Pranowo Turun Mobil Atur Lalu Lintas","Ganjar Pranowo turun dari kendaraan dinasnya untuk mengatur lalu lintas saat terjadi kemacetan di jalur pantura, tepatnya di Kecamatan Sayung, Kabupaten Demak, Jumat, (15/5/2020)."
Jokowi Tegaskan Belum Berencana Longgarkan PSBB,Jokowi menyebut pemerintah terus memantau data dan fakta untuk menentukan waktu tepat pelonggaran PSBB.
Gerakan Masker Indonesia Bagikan 200 Ribu Masker Cegah Penyebaran Covid-19,"Penyaluran masker dilakukan secara transparan, tidak hanya relawan yang ikut turun dalam tahap pembagian."
"VIDEO TOP 3: Istri Ahok, Puput Nastiti Devi Berulang Tahun","Video Top 3 hari ini ada berita terkait polisi mengkonfirmasi telah menangkap tiga orang pelaku pemerkosaan pada remaja N-F, istri Ahok, Puput Nastiti Devi hari ini berulang tahun, dan polisi mengkap pelaku jual beli surat sehat bebas Covid-19 di Bali."
"Jelang Lebaran, 10 Pintu Masuk Jateng Akan Disekat","Ahmad Lutfi menyampaikan, khusus kendaraan barang logistik kebutuhan pokok masyarakat tetap akan diperbolehkan."
Pasien Positif Corona di RSD Wisma Atlet Kemayoran Jadi 735 Orang,Jumlah pasien rawat inap terkait Corona di Wisma Atlet Kemayoran mencapai 850 orang.
Menag dan Wakilnya Bayar Zakat secara Online di Tengah Pandemi Corona,Pembayaran zakat pribadi Menag dan Wamenag ini diterima oleh Ketua BAZNAS Bambang Sudibyo.
Anies: Tak Ada Pelonggaran PSBB di DKI Jakarta,PSBB Jakarta justru diketatkan demi percepatan penanganan wabah Corona di Ibu Kota. Berikut penjelasan Anies Baswedan.
KPK Harap Jokowi Kaji Ulang Kenaikan Iuran BPJS Kesehatan,KPK kembali mengingatkan enam rekomendasi yang pernah diberikan kepada pemerintah terkait persoalan BPJS Kesehatan.
242 Korban Banjir dan Longsor di Bogor Mengungsi di Rumah Saudara,"Sebanyak 14 rumah di Kampung Legok Pesar, Desa Wangunjaya, Kecamatan Leuwisadeng, Kabupaten Bogor rata dengan tanah diterjang banjir  dan longsor"
"FOTO: PSBB di Jakarta, Sebagian Ruas Jalan Tetap Macet","Dinas Tenaga Kerja, Transmigrasi dan Energi DKI Jakarta mencatat ada 1.100 perusahaan atau kantor di Jakarta melanggar aturan Pembatasan Sosial Berskala Besar (PSBB)."
"Remaja NF Tersangka Pembunuh Bocah Sudah Bisa Bergaul, Bermain, dan Mengaji","NF merupakan tersangka pembunuh bocah di Sawah Besar, karena terinspirasi film horor yang kerap ditonton."
VIDEO TOP 3: Antrean Penumpang di Bandara Saat Pandemi Corona,"Video top 3 hari ini datang dari viralnya foto anteran penumpang pesawat di bandara Soekarno-Hatta, 10 oerang pasien corona kabur, dan WHO yang menyatakan Covid-19 tidak akan hilang dari dunia."
"Calon Penumpangnya Menumpuk di Bandara Soetta, Begini Kata Batik Air","Batik Air mengklaim, selama proses penerbangan atau di dalam kabin pesawat, para penumpang dan awak pesawat tetap mematuhi protokol kesehatan guna mencegah penularan Covid-19."
Perjuangan Keluarga Trisakti Lewat Bantuan Alat PCR dengan Robotik,Alat dimaksud bernama Pockit Central PCR buatan Taiwan ini diyakini merupakan salah satu kunci keberhasilan negara tersebut dalam penanganan Covid-19.
"Teken Perpres 60 Tahun 2020, Jokowi Izinkan Pembangunan 4 Pulau Reklamasi","Jokowi meneken Peraturan Presiden (Perpres) Nomor 60 Tahun 2020 tentang Rencana Tata Ruang Kawasan Perkotaan Jakarta, Bogor, Depok, Tangerang Bekasi, Puncak dan Cianjur."
"Syarat Tak Lengkap, Calon Penumpang Banyak yang Ditolak di Bandara Soetta","Mayoritas, kelengkapan dokumen yang tidak dipenuhi calon penumpang adalah tidak membawa hasil test Covid-19."
"Divonis 8 Tahun Penjara, Eks Dirut Garuda Emirsyah Satar Ajukan Banding","Luhut menilai, ada beberapa kekeliruan dalam vonis yang dijatuhkan Pengadilan Tipikor terhadap kliennya."
